imdbID,Title,Note
tt5667260,Rusty Boys,2018-01-04 | Alte Jungs
tt6486630,Asphyxia / Khafegi,2018-01-04
tt6314690,Die Dschungelhelden - Das grosse Kinoabenteuer,2018-01-04
tt5937296,Glory (Slava),* 2018-01-04
tt1485796,"Greatest Showman on Earth, The",2018-01-04 | Greatest Showman
tt5726086,Insidious - The Last Key,2018-01-04
tt3741632,"Leisure Seeker, The","2018-01-04 | Leuchten der Erinnerung, Das"
tt7637968,Lux - Krieger des Lichts,2018-01-04
tt4207112,Score: A Film Music Documentary,2018-01-04 | Score - Eine Geschichte der Filmmusik
tt5328350,Pokot - Spoor,"2018-01-04 | Spur, Die"
tt6697582,Arif V 2016,2018-01-11
tt1590193,"Commuter, The",2018-01-11
tt6794464,Julian Schnabel - A Private Portrait,2018-01-11
tt3896102,Tad Jones and the Secret of King Midas,2018-01-11 | Tad Jones und das Geheimnis von Köng Midas (3D)
tt4637434,Tony Conrad - Completely in the Present,2018-01-11
tt5265960,"Región salvaje, La","2018-01-11 | Untamed, The"
tt5954892,Paths,"2018-01-11 | Weg, Ein"
tt5825380,Wonder Wheel,2018-01-11
tt5987402,Dvizhenie Vverkh - Sprung an die Spitze,2018-01-14
tt6367558,L'Amant double,"2018-01-18 | Andere Liebhaber, Der"
tt6032566,"Anfängerin, Die",2018-01-18
tt4629266,Born in China,2018-01-18
tt7871636,Deliha 2 (OmU),2018-01-18
tt1389072,Downsizing,2018-01-18
tt4555426,"Darkest Hour, The","2018-01-18 | Dunkelste Stunde, Die"
tt5259988,Garten der Sterne,2018-01-18
tt3658366,Hannah - Buddhism's untold Journey,2018-01-18 | Hannah - Ein buddhistischer Weg zur Freiheit
tt6818140,"Hilfe, ich hab meine Eltern geschrumpft",2018-01-18
tt6284564,Hot Dog,2018-01-18
tt4695012,It comes at Night,2018-01-18
tt5923026,Marlina - Die Mörderin in vier Akten,2018-01-18
tt5749698,"Milan Protokoll, Das",2018-01-18
tt7131848,Wir töten Stella,2018-01-18
tt6903636,Grace Jones: Bloodlight and Bami - Das Leben einer Ikone,2018-01-24
tt5141862,Anne Clark - I'll walk out into tomorrow,2018-01-25
tt6303866,Beach Rats,2018-01-25
tt5065762,Ultimos dias en La Habana,2018-01-25 | Letzte Tage in Havanna
tt6175764,Nur Gott kann mich richten,2018-01-25
tt6412864,Bamui haebyun-eoseo honja,2018-01-25 | On the beach at night alone
tt7748226,Rüzgar,* 2018-01-25
tt6098794,"Thought of Ecstasy, A",2018-01-25
tt5027774,"Three Billboards outside Ebbing, Missouri",2018-01-25
tt2543472,Wonder,2018-01-25 | Wunder
tt1259528,Den of Thieves,2018-02-01 | Criminal Squad
tt3521126,"Disaster Artist, The",2018-02-01
tt5778938,Freddy/Eddy,2018-02-01
tt6690458,Free Lunch Society - Komm komm Grundeinkommen,2018-02-01
tt6153538,"Kleine Hexe, Die",2018-02-01
tt5699154,Le Sens de la fête,"2018-02-01 | Leben ist ein Fest, Das"
tt5584756,Licht,2018-02-01
tt4500922,Maze Runner: The Death Cure (3D),2018-02-01 | Maze Runner - Die Auserwählten in der Todeszone (auch in 3D)
tt0197370,"Allende, mir abuelo Allende",2018-02-01 | Mein Großvater Salvador Allende
tt5776858,Phantom Thread / aka: Untitled Paul Thomas Anderson Project,"2018-02-01 | Seidene Faden, Der"
tt5843990,Ang Babaeng Humayo,"2018-02-04 | Woman who left, The"
tt7630164,Big Time,2018-02-08
tt5027402,Dinky Sinky,2018-02-08
tt2322441,Fifty Shades Freed,2018-02-08 | Fifty Shades of Grey - Befreite Lust
tt4701906,Freiheit,2018-02-08
tt0287592,Kayhan (OmU),2018-02-08
tt6816210,Playing God,2018-02-08
tt5362988,Wind River,2018-02-08
tt3463230,"""37""",2018-02-15
tt5294550,All the Money in the World,2018-02-15 | Alles Geld der Welt
tt1825683,Black Panther,2018-02-15 | Black Panther (2D/3D)
tt5180240,Primaire,"2018-02-15 | Grundschullehrerin, Die"
tt7628458,Hadi Be Oglum,2018-02-15
tt5976196,Königin von Niendorf,2018-02-15
tt3704700,LUNA,* 2018-02-15
tt5580390,Shape of Water,2018-02-15 | Shape of Water - Das Flüstern des Wassers
tt0073881,Wann wird es endlich wieder Sommer?,2018-02-15
tt1966359,Father Figures,2018-02-15 | Wer ist Daddy?
tt5844488,Lyod (OV),2018-02-18
tt6515342,Knock,2018-02-22 | Docteur Knock - Ein Arzt mit gewissen Nebenwirkungen
tt7790498,"Geschmack von Leben, Der",2018-02-22
tt7214470,Heilstätten,2018-02-22
tt6294822,"Post, The","2018-02-22 | Verlegerin, Die"
tt7119170,Wendy 2,2018-02-22 | Wendy 2 - Freundschaft für immer
tt1863347,O chyom eshchyo govoryat muzhchiny - What men talk about 3,2018-02-25
tt5726616,Call me by your Name,2018-03-01
tt6685596,Die Biene Maja - Die Honigspiele (2D/3D),2018-03-01
tt2704998,Game Night,2018-03-01
tt5992202,Dikkertje Dap,"2018-03-01 | Mein Freund, die Giraffe (AT)"
tt7980094,Oscar Shorts 2018 Animation,2018-03-01
tt7935892,Oscar Shorts 2018 Live Action,2018-03-01
tt2873282,Red Sparrow,2018-03-01
tt6576556,"Schweigende Klassenzimmer, Das",2018-03-01
tt6818554,Trust Who,2018-03-01
tt7748426,Ailecek Saskiniz,2018-03-08
tt6175234,Arthur & Claire,2018-03-08
tt1137450,Death Wish,2018-03-08
tt6441090,Er Sie Ich,2018-03-08
tt6029146,Fühlen Sie sich manchmal ausgebrannt und leer?,2018-03-08
tt5214024,Furusato - Wunde Heimat,2018-03-08
tt7207238,Jane,2018-03-08
tt6962218,Kevin Roche - Der stille Architekt,2018-03-08
tt5859238,Lucky,2018-03-08
tt4209788,Molly's Game,2018-03-08
tt1413492,Horse Soldiers,2018-03-08 | Operation: 12 Strong
tt7333070,Vielmachglas,2018-03-08
tt7238338,Walter Pfeiffer - Chasing Beauty,2018-03-08
tt5468016,Digimon Adventure tri. - Chapter 4: Lost,2018-03-11
tt6964554,Kupi menya - Buy me,2018-03-11
tt7158736,Fünf Freunde und das Tal der Dinosaurier,2018-03-15
tt5599140,Chi salverà le rose? / Who will save the roses?,2018-03-15 | Für Dich soll's ewig Rosen geben
tt5649144,"Florida Project, The",2018-03-15
tt6763252,"Hauptmann, Der",2018-03-15
tt6304162,Нелюбовь,2018-03-15 | Loveless
tt5360996,Mary Magdalene,2018-03-15 | Maria Magdalena
tt7775886,Rückenwind von vorn,2018-03-15
tt1365519,Tomb Raider (3D),2018-03-15
tt6238896,Earth: One Amazing Day,2018-03-15 | Unsere Erde 2
tt1072748,Winchester - Das Haus der Verdammten,2018-03-15
tt7717990,Alem-i Cin,2018-03-22
tt7400426,Über Leben in Demmin,2018-03-22
tt8045670,Dügüm Salonu,2018-03-22
tt6859418,Une jolie ch'tite famille,2018-03-22 | Die Sch'tis in Paris - Eine Familie auf Abwegen
tt7035872,Es ist nie zu spät,2018-03-22
tt5887760,"Grüne Lüge, Die",2018-03-22
tt0336525,grenzenlos - Geschichten von Freiheit & Freundschaft,2018-03-22
tt6588966,Hichki,2018-03-22
tt5580036,"I, Tonya","2018-03-22 | I, Tonya (AT)"
tt0302249,Midnight Sun,2018-03-22 | Midnight Sun - Alles für dich
tt2557478,Pacific Rim: Uprising (3D) (IMAX),2018-03-22
tt5117670,Peter Rabbit,* 2018-03-22 | Peter Hase
tt6716544,"Stille Revolution, Die",2018-03-22
tt6304046,Thelma,2018-03-22
tt3397096,aka: Mittelreich,2018-03-22 | Zwei Herren im Anzug
tt5667296,1000 Arten Regen zu beschreiben,2018-03-29
tt4715164,AF-Media - ohne Titel -,* 2018-03-29
tt4686844,"Death of Stalin, The",2018-03-29
tt4045380,Exodus,* 2018-03-29
tt5884230,Brad's Status,2018-03-29 | Im Zweifel glücklich
tt7302634,Jim Knopf und Lukas der Lokomotivführer,2018-03-29
tt7392244,Kaybedenler Kulübü,* 2018-03-29
tt7153766,Unsane,2018-03-29 | Unsane - Ausgeliefert
tt5872472,"Verpiss Dich, Schneewittchen!",2018-03-29
tt1863293,Khibula,2018-03-29 | Vor dem Frühling
tt3319730,"Mercy, The",2018-03-29 | Vor uns das Meer
tt5711148,Film Stars don't die in Liverpool,2018-04-05
tt6195094,Incident in a Ghostland,2018-04-05 | Ghostland
tt3721964,aka: Untitled Nash Edgerton Project,2018-04-05 | Gringo
tt5287168,"Mädchen aus dem Norden, Das",2018-04-05
